GN	release year	platform
GN319	2011	Affymetrix M430 2.0 
GN122	2011	Affymetrix M430 2.0 
GN470	2013	Affymetrix Mouse Gene 2.0 ST
GN334	2012	Affymetrix Mouse Gene 1.0 ST
GN158	2010	Affymetrix Mouse Gene 1.0 ST
GN151	2009	Illumina mouse-6 v1.1
GN150	2009	Illumina mouse-6 v1.1
GN148	2009	Illumina mouse-6 v1.1
GN414	2013	Illumina mouse-6 v1.1
GN466	2013	Affymetrix Mouse Gene 2.0 ST
GN59	2006	Affymetrix M430 2.0 
GN394	2012	ABI Solid Exon
GN123	2006	Affymetrix M430 2.0 
GN101	2006	Affymetrix M430 2.0 
GN95	2005	Affymetrix Mouse U74v2
GN178	2011	Illumina mouse-6 v1.1
GN73	2005	Affymetrix M430 2.0 
GN55	2005	Affymetrix M430 2.0 
GN207	2008	Affymetrix M430 2.0 
GN400	2011	Affymetrix M430 2.0 
GN597	2014	Affymetrix Mouse Gene 1.0 ST
GN487	2014	Affymetrix Mouse Gene 2.0 ST
GN7	2003	Affymetrix Mouse U74v2
GN706	2014	Illumina MouseWG-6 custom
GN206	2009	Affymetrix Mouse Gene 1.0 ST
GN112	2006	Affymetrix M430 2.0 
GN814	2012	Illumina mouse-6 v1.1
GN159	2010	Affymetrix Mouse Gene 1.0 ST
GN117	2006	Affymetrix Mouse Gene 2.0 ST
GN105	2004	Agilent-011978 Mouse Microarray G4121A
GN432	2013	Affymetrix Mouse Gene 1.0 ST
GN701	2014	Affymetrix Mouse Gene 1.0 ST
GN374	2011	Illumina MouseWG-6 v2.0
GN282	2008	Illumina MouseWG-6
GN156	2007	Affymetrix M430 2.0 
GN335	2012	Affymetrix Mouse Gene 1.0 ST
GN135	2006	Affymetrix M430 2.0 
GN884	2019	RNA-seq
GN710	2015	Affymetrix Mouse Gene 2.0 ST
GN267	2010	Illumina MouseWG-6 v2.0
GN429	2010	Affymetrix Mouse Gene 1.0 ST
GN260	2010	Illumina MouseWG-6 v1, v1.1
GN149	2009	Illumina MouseWG-6 v1, v1.1
GN163	2009	Affymetrix Mouse Exon 1.0 ST
GN152	2010	Illumina MouseWG-6 v1, v1.1
GN68	2005	Affymetrix M430 2.0 
GN229	2009	Affymetrix M430 2.0 
GN373	2011	Affymetrix M430 2.0
GN702	2011	Affymetrix Mouse Gene 1.0 ST
GN308	2012	Affymetrix M430 2.0
GN161	2008	Affymetrix M430 2.0
GN387	2013	Agilent MouseWG 4x44K
GN381	2012	Agilent SurePrint G3 GE 8x60K
GN397	2012	Affymetrix Mouse Gene 1.0 ST
